id,name,start,end,reason
11,Praha-Běchovice - Praha-Libeň,20111021094500,20111021120000,následky srážky vlaku s osobou
323,Baška - Frýdek-Místek,20111021112000,20111021140000,následky srážky vlaku s osobou
11,Velim - Kolín,20111021184000,20111021204000,následky srážky vlaku s osobou
320,Mosty u Jabl. - Návsí (Nawsie),20111022191300,20111022210000,následky srážky vlaku s osobou
251,Nedvědice - Žďár n.Sáz.,20111024081300,20111024130000,následky srážky vlaku s osobou
30,Dvůr Králové n.L. - Jaroměř,20111024172500,20111024203000,následky srážky vlaku s osobou
331,Otrokovice - Lípa nad Dřevnicí,20111027193500,20111027220000,následky srážky vlaku s osobou
341,St.Město u U.H. - Uherské Hradiště,20111027200000,20111027220000,následky srážky vlaku s osobou
330,St.Město u U.H. - Uherské Hradiště,20111027200000,20111027220000,následky srážky vlaku s osobou
120,Praha-Dejvice - Praha-Veleslavín,20111028174800,20111028211500,následky srážky vlaku s osobou
30,Liberec - Jeřmanice,20111029142200,20111029162200,následky srážky vlaku s osobou
270,Hranice na M. - Polom,20111031035000,20111031073000,následky srážky vlaku s osobou
224,Pelhřimov - N.Cerekev,20111031174500,20111031203000,následky srážky vlaku s osobou
300,Brno hl.n. - Brno-Chrlice,20111031183000,20111031220000,následky srážky vlaku s osobou
260,Svitavy - Opatov,20111101075800,20111101100000,následky srážky vlaku s osobou
340,Nemotice - Kyjov,20111101184600,20111101220000,následky srážky vlaku s osobou
226,Třeboň - Č.Velenice,20111105055800,20111105080000,následky srážky vlaku s osobou
270,Hranice na M. - Drahotuše,20111107161500,20111107183000,následky srážky vlaku s osobou
270,Ostrava-Svinov - Polanka n.O.,20111107173500,20111107214500,následky srážky vlaku s osobou
140,Kadaň-Prunéřov - Chomutov,20111108195500,20111108223000,následky srážky vlaku s osobou
250,Kuřim - Brno-Královo Pole,20111109143000,20111109163000,následky srážky vlaku s osobou
30,Horka u Staré Paky - Mostek,20111110114000,20111110151500,následky srážky vlaku s osobou
20,Dobšice n.C. - V.Osek,20111111120000,20111111133000,následky srážky vlaku s osobou
231,Praha-H.Počernice - Mstětice,20111115144600,20111115173000,následky srážky vlaku s osobou
11,Úvaly - Praha-Běchovice,20111119183200,20111119213200,následky srážky vlaku s osobou
11,Kolín - Velim,20111120221500,20111121023000,následky srážky vlaku s osobou
180,Staňkov - Holýšov,20111121174200,20111121210000,následky srážky vlaku s osobou
180,Staňkov - Holýšov,20111121174200,20111121210000,následky srážky vlaku s osobou
11,Praha Masarykovo n. - Praha-Libeň,20111122231500,20111123020000,následky srážky vlaku s osobou
240,Střelice - Brno-H.Heršpice,20111123111500,20111123144500,následky srážky vlaku s osobou
331,Otrokovice - Zlín stř.,20111123190000,20111123220000,následky srážky vlaku s osobou
270,Olomouc hl.n. - Grygov,20111125191500,20111125211500,následky srážky vlaku s osobou
250,Žďár n.Sáz. - Ostrov n.Osl.,20111126110800,20111126133000,následky srážky vlaku s osobou
340,Veselí n.M. - Kunovice,20111126112900,20111126133000,následky srážky vlaku s osobou
270,Ostrava-Vítkovice - Polanka n.O.,20001127132200,20111127210000,následky srážky vlaku s osobou
321,Ostrava-Vítkovice - Polanka n.O.,20001127132200,20111127210000,následky srážky vlaku s osobou
341,Újezdec u Luh. - Uherský Brod,20111128145500,20111128180000,následky srážky vlaku s osobou
270,Zábřeh na M. - Zábřeh na M.,20111128193200,20111128223000,následky srážky vlaku s osobou
270,Lukavice na M. - Zábřeh na M.,20111129101000,20111129121000,následky srážky vlaku s osobou
31,Stéblová - Opatovice n.L.,20111129114900,20111129134900,následky srážky vlaku s osobou
174,Hýskov - Beroun-Závodí,20111129212500,20111129232500,následky srážky vlaku s osobou
142,Karlovy Vary - Karlovy Vary dol.n.,20111129195500,20111129224000,následky srážky vlaku s osobou
11,Velim - Pečky,20111130183000,20111130213000,následky srážky vlaku s osobou
90,Povrly - Ústí n.L.hl.n.sever,20111201143500,20111201170000,následky srážky vlaku s osobou
260,Skalice n.Svit. - Rájec-Jestřebí,20111203114000,20111203144500,následky srážky vlaku s osobou
270,Brodek u Přer. - Grygov,20111204063000,20111204093000,následky srážky vlaku s osobou
224,H.Cerekev - Pelhřimov,20111204080000,20111204120000,následky srážky vlaku s osobou
225,H.Cerekev - Pelhřimov,20111204080000,20111204120000,následky srážky vlaku s osobou
224,H.Cerekev - Pelhřimov,20111204083000,20111204110000,následky srážky vlaku s osobou
26,Náchod - Václavice,20111204215400,20111204232000,následky srážky vlaku s osobou
331,Zlín stř. - Lípa nad Dřevnicí,20111205121500,20111205143000,následky srážky vlaku s osobou
250,Vranovice - Hrušovany u Brna,20111205130900,20111205153000,následky srážky vlaku s osobou
250,Hrušovany u Brna - Vranovice,20111205130000,20111205180000,následky srážky vlaku s osobou
194,Č.Budějovice - Boršov n.Vlt.,20111205144700,20111205203000,následky srážky vlaku s osobou
196,Č.Budějovice - Boršov n.Vlt.,20111205144700,20111205203000,následky srážky vlaku s osobou
321,Ostrava-Svinov - Háj ve Sl.,20111205173000,20111205193000,následky srážky vlaku s osobou
321,Háj ve Sl. - Děhylov,20111205172000,20111205193900,následky srážky vlaku s osobou
330,Tlumačov - Otrokovice,20111205181000,20111205220000,následky srážky vlaku s osobou
321,Havířov - Albrechtice u Č.T.,20111208044500,20111208084500,následky srážky vlaku s osobou
31,Smiřice - Jaroměř,20111208045000,20111208080000,následky srážky vlaku s osobou
321,Havířov - Opava východ,20111208085300,20111208114500,následky srážky vlaku s osobou
320,Návsí (Nawsie) - Bystřice (Bystrzyca),20111209201200,20111209231200,následky srážky vlaku s osobou
320,Návsí (Nawsie) - Návsí (Nawsie),20111210070000,20111210110000,následky srážky vlaku s osobou
331,Otrokovice - Otrokovice-Trávn.,20111211183000,20111211205000,následky srážky vlaku s osobou
