183	"Dobřany - Chlumčany u Dobřan"	"31.05.2011 17:25"	"31.05.2011 19:00"	"následky srážky vlaku s osobou"	
203	"Strakonice - Blatná"	"01.06.2011 22:50"	"02.06.2011 01:30"	"následky srážky vlaku s osobou"	
331	"Zlín stř. - Vizovice"	"02.06.2011 15:50"	"02.06.2011 18:00"	"následky srážky vlaku s osobou"	
90	"Povrly - Ústí n.L.hl.n.sever"	"02.06.2011 18:30"	"02.06.2011 21:00"	"následky srážky vlaku s osobou"	
320	"Třinec (Trzyniec) - Bystřice (Bystrzyca)"	"02.06.2011 22:55"	"03.06.2011 01:45"	"následky srážky vlaku s osobou"	
"122, 120, 093"	"Hostivice - Praha-Zličín"	"03.06.2011 04:18"	"03.06.2011 07:30"	"následky srážky vlaku s osobou"	
120	"Kladno - Praha Masarykovo n."	"03.06.2011 04:53"	"03.06.2011 05:53"	"následky srážky vlaku s osobou"	
122	"Praha-Zličín - Hostivice"	"03.06.2011 04:58"	"03.06.2011 06:00"	"následky srážky vlaku s osobou"	
72	"Všetaty - Mělník"	"04.06.2011 17:00"	"04.06.2011 20:30"	"následky srážky vlaku s osobou"	
"091, 091"	"Praha-Bubeneč - Pha-Holešov.zast."	"07.06.2011 17:35"	"07.06.2011 20:45"	"následky srážky vlaku s osobou"	
210	"Skochovice - Davle"	"08.06.2011 13:10"	"08.06.2011 15:40"	"následky srážky vlaku s osobou"	
190	"Nepomuk - Ždírec u Plzně"	"10.06.2011 04:17"	"10.06.2011 09:30"	"následky srážky vlaku s osobou"	
190	"Ždírec u Plzně - Nepomuk"	"10.06.2011 05:02"	"10.06.2011 08:02"	"následky srážky vlaku s osobou"	
280	"Hustopeče n.Beč. - Lhotka n.Beč."	"11.06.2011 00:30"	"11.06.2011 04:30"	"následky srážky vlaku s osobou"	
162	"Zavidov - Lubná"	"11.06.2011 10:45"	"11.06.2011 15:00"	"následky srážky vlaku s osobou"	
31	"Hradec Králové hl.n. - Předměřice n.L."	"12.06.2011 06:00"	"12.06.2011 09:15"	"následky srážky vlaku s osobou"	
140	"Karlovy Vary - Karlovy Vary"	"12.06.2011 13:05"	"12.06.2011 15:05"	"následky srážky vlaku s osobou"	
114	"Libochovice - Koštice n.Ohří"	"12.06.2011 14:10"	"12.06.2011 16:10"	"následky srážky vlaku s osobou"	
230	"Golčův Jeníkov - Čáslav"	"13.06.2011 08:02"	"13.06.2011 10:30"	"následky srážky vlaku s osobou"	
343	"Sudoměřice n.M. - Strážnice"	"14.06.2011 05:48"	"14.06.2011 07:48"	"následky srážky vlaku s osobou"	
323	"Kunčice p.Ondř. - Frenštát p.Rad."	"15.06.2011 16:22"	"15.06.2011 19:30"	"následky srážky vlaku s osobou"	
30	"Turnov - Malá Skála"	"15.06.2011 19:35"	"15.06.2011 22:35"	"následky srážky vlaku s osobou"	
290	"Šternberk - Újezd u Uničova"	"18.06.2011 16:07"	"18.06.2011 17:07"	"následky srážky vlaku s osobou"	
340	"Brno hl.n. - Brno-Černovice"	"23.06.2011 17:00"	"23.06.2011 19:00"	"následky srážky vlaku s osobou"	
270	"Olomouc hl.n. - Štěpánov"	"26.06.2011 16:20"	"26.06.2011 20:00"	"následky srážky vlaku s osobou"	
301	"Olomouc hl.n. - Blatec"	"28.06.2011 04:55"	"28.06.2011 08:00"	"následky srážky vlaku s osobou"	
60	"Sadská - Nymburk m."	"29.06.2011 09:20"	"29.06.2011 11:30"	"následky srážky vlaku s osobou"	
321	"Ostrava-Vítkovice - Ostrava-Svinov"	"29.06.2011 15:35"	"29.06.2011 16:50"	"následky srážky vlaku s osobou"	
300	"Přerov - Věžky"	"29.06.2011 18:00"	"29.06.2011 21:00"	"následky srážky vlaku s osobou"	
300	"Věžky - Přerov"	"29.06.2011 18:05"	"29.06.2011 21:00"	"následky srážky vlaku s osobou"	
235	"Kutná Hora hl.n. - Kutná Hora m."	"29.06.2011 22:30"	"29.06.2000 13:09"	"následky srážky vlaku s osobou"	
250	"Modřice - Hrušovany u Brna"	"03.07.2011 04:30"	"03.07.2011 07:30"	"následky srážky vlaku s osobou"	
321	"Ostrava-Svinov - Ostrava-Vítkovice"	"05.07.2011 05:00"	"05.07.2011 08:00"	"následky srážky vlaku s osobou"	
130	"Bohosudov - Teplice v Č."	"08.07.2011 17:00"	"08.07.2011 19:00"	"následky srážky vlaku s osobou"	
140	"Karlovy Vary - Dalovice"	"09.07.2011 04:46"	"09.07.2011 07:00"	"následky srážky vlaku s osobou"	
199	"N.Hrady - Č.Velenice"	"09.07.2011 07:54"	"09.07.2011 12:30"	"následky srážky vlaku s osobou"	
199	"Č.Velenice - Č.Velenice"	"09.07.2011 17:08"	"09.07.2011 21:00"	"následky srážky vlaku s osobou"	
325	"Příbor - Sedlnice kol. 1-6"	"09.07.2011 23:15"	"10.07.2011 03:00"	"následky srážky vlaku s osobou"	
330	"Hodonín - Lužice"	"11.07.2011 10:38"	"11.07.2011 13:10"	"následky srážky vlaku s osobou"	
330	"Hodonín - Lužice"	"11.07.2011 10:30"	"11.07.2011 13:00"	"následky srážky vlaku s osobou"	
250	"Kuřim - Tišnov"	"12.07.2011 14:15"	"12.07.2011 16:15"	"následky srážky vlaku s osobou"	
310	"Opava západ - Opava východ"	"13.07.2011 04:56"	"13.07.2011 07:30"	"následky srážky vlaku s osobou"	
11	"Praha-Běchovice - Úvaly"	"14.07.2011 17:30"	"14.07.2011 20:32"	"následky srážky vlaku s osobou"	
170	"Chodová Planá - Planá u Mar.Láz."	"23.07.2011 18:55"	"23.07.2011 22:00"	"následky srážky vlaku s osobou"	
323	"Frýdek-Místek - Frenštát p.Rad."	"24.07.2011 19:35"	"24.07.2011 22:00"	"následky srážky vlaku s osobou"	
340	"Brno hl.n. - Brno-Černovice"	"27.07.2011 04:58"	"27.07.2011 08:50"	"následky srážky vlaku s osobou"	
301	"Vrbátky - Prostějov hl.n."	"28.07.2011 20:05"	"28.07.2011 23:00"	"následky srážky vlaku s osobou"	
72	"V.Žernoseky - Litoměřice m."	"29.07.2011 13:26"	"29.07.2011 16:00"	"následky srážky vlaku s osobou"	
240	"Třebíč - Studenec"	"29.07.2011 15:15"	"29.07.2011 16:35"	"následky srážky vlaku s osobou"	
20	"Hr.Králové-Sl.Př. - Hradec Králové hl.n."	"31.07.2011 22:28"	"01.08.2011 01:28"	"následky srážky vlaku s osobou"	
	"Dresden Hbf - Děčín hl.n."	"01.08.2011 09:10"	"01.08.2011 12:00"	"následky srážky vlaku s osobou"	
238	"Hlinsko v Č. - Ždírec n.Doubr."	"01.08.2011 17:25"	"01.08.2011 21:00"	"následky srážky vlaku s osobou"	
321	"Ostrava-Svinov - Ostrava-Vítkovice"	"02.08.2011 08:40"	"02.08.2011 11:15"	"následky srážky vlaku s osobou"	
220	"Roudná - Soběslav"	"08.08.2011 02:30"	"08.08.2011 06:00"	"následky srážky vlaku s osobou"	
"244, 240"	"Brno-H.Heršpice - Střelice"	"10.08.2011 04:41"	"10.08.2011 07:00"	"následky srážky vlaku s osobou"	
"244, 240"	"Brno-H.Heršpice - Střelice"	"10.08.2011 04:41"	"10.08.2011 08:30"	"následky srážky vlaku s osobou"	
270	"Olomouc hl.n. - Grygov"	"12.08.2011 02:01"	"12.08.2011 04:30"	"následky srážky vlaku s osobou"	
240	"Jihlava - Luka n.Jihl."	"13.08.2011 16:00"	"13.08.2011 18:30"	"následky srážky vlaku s osobou"	
10	"Kostěnice - Pardubice hl.n."	"13.08.2011 23:58"	"14.08.2011 03:00"	"následky srážky vlaku s osobou"	
270	"Jistebník - Polanka n.O."	"14.08.2011 01:22"	"14.08.2011 06:00"	"následky srážky vlaku s osobou"	
86	"Zákupy - Mimoň"	"17.08.2011 20:36"	"17.08.2011 23:36"	"následky srážky vlaku s osobou"	
72	"Mělník - Liběchov"	"19.08.2011 13:40"	"19.08.2011 15:50"	"následky srážky vlaku s osobou"	
260	"Rájec-Jestřebí - Blansko"	"21.08.2011 20:35"	"21.08.2011 23:30"	"následky srážky vlaku s osobou"	
260	"Adamov - Blansko"	"21.08.2011 22:40"	"22.08.2011 00:30"	"následky srážky vlaku s osobou"	
331	"Vizovice - Zlín stř."	"25.08.2011 04:00"	"25.08.2011 08:00"	"následky srážky vlaku s osobou"	
221	"Praha-Uhříněves - Praha-Hostivař"	"25.08.2011 10:28"	"25.08.2011 13:30"	"následky srážky vlaku s osobou"	
31	"Hradec Králové hl.n. - Opatovice n.L."	"28.08.2011 08:45"	"28.08.2011 13:14"	"následky srážky vlaku s osobou"	
160	"Plzeň hl.n. - Třemošná u Plzně"	"29.08.2011 11:45"	"29.08.2011 16:00"	"následky srážky vlaku s osobou"	
201	"Písek - Písek m."	"29.08.2011 12:08"	"29.08.2011 14:08"	"následky srážky vlaku s osobou"	
"244, 240"	"Brno-H.Heršpice - Střelice"	"29.08.2011 17:58"	"29.08.2011 18:58"	"následky srážky vlaku s osobou"	
212	"Světlá n.Sáz. - Ledeč n.Sáz."	"03.09.2011 09:18"	"03.09.2011 10:18"	"následky srážky vlaku s osobou"	
270	"Studénka - Suchdol n.O."	"05.09.2011 09:54"	"05.09.2011 12:00"	"následky srážky vlaku s osobou"	
320	"Návsí (Nawsie) - Č.Těšín"	"05.09.2011 12:00"	"05.09.2011 12:45"	"následky srážky vlaku s osobou"	
"273, 271"	"Prostějov hl.n. - Prostějov hl.n."	"05.09.2011 21:00"	"05.09.2011 23:59"	"následky srážky vlaku s osobou"	
281	"Rožnov p.Rad. - Valašské Meziříčí"	"06.09.2011 21:28"	"06.09.2011 23:50"	"následky srážky vlaku s osobou"	
11	"Úvaly - Praha-Běchovice"	"09.09.2011 23:42"	"10.09.2011 02:00"	"následky srážky vlaku s osobou"	
277	"Suchdol n.O. - Fulnek"	"11.09.2011 13:06"	"11.09.2011 15:00"	"následky srážky vlaku s osobou"	
340	"Ostrožská N.Ves - Kunovice zast."	"11.09.2011 13:15"	"11.09.2011 15:57"	"následky srážky vlaku s osobou"	
301	"Vrbátky - Prostějov hl.n."	"11.09.2011 20:45"	"11.09.2011 23:00"	"následky srážky vlaku s osobou"	
20	"Újezd u Choc. - Choceň"	"13.09.2011 07:27"	"13.09.2011 10:30"	"následky srážky vlaku s osobou"	
10	"Zámrsk - Choceň"	"15.09.2011 20:32"	"15.09.2011 23:59"	"následky srážky vlaku s osobou"	
80	"Doksy - Okna"	"17.09.2011 05:38"	"17.09.2011 07:38"	"následky srážky vlaku s osobou"	
330	"Nedakonice - Moravský Písek"	"18.09.2011 03:43"	"18.09.2011 05:30"	"následky srážky vlaku s osobou"	
30	"Liberec - Jeřmanice"	"25.09.2011 18:40"	"25.09.2011 23:00"	"následky srážky vlaku s osobou"	
194	"Č.Budějovice - Boršov n.Vlt."	"27.09.2011 21:45"	"27.09.2011 23:59"	"následky srážky vlaku s osobou"	
72	"Sebuzín - V.Žernoseky"	"01.10.2011 20:05"	"01.10.2011 22:05"	"následky srážky vlaku s osobou"	
290	"Újezd u Uničova - Šternberk"	"02.10.2011 06:00"	"02.10.2011 08:00"	"následky srážky vlaku s osobou"	
"270, 300"	"Olomouc hl.n. - Bohumín"	"02.10.2011 18:05"	"02.10.2011 22:20"	"následky srážky vlaku s osobou"	
300	"Kojetín - Chropyně"	"03.10.2011 09:25"	"03.10.2011 11:30"	"následky srážky vlaku s osobou"	
300	"Kojetín - Chropyně"	"03.10.2011 09:15"	"03.10.2011 12:00"	"následky srážky vlaku s osobou"	
317	"D.Benešov - Hlučín"	"03.10.2011 11:46"	"03.10.2011 15:00"	"následky srážky vlaku s osobou"	
80	"Bezděz - Č.Lípa hl.n."	"03.10.2011 13:00"	"03.10.2011 14:39"	"následky srážky vlaku s osobou"	
"141, 140"	"Karlovy Vary - Merklín"	"06.10.2011 19:10"	"06.10.2011 22:00"	"následky srážky vlaku s osobou"	
90	"Děčín hl.n. - Povrly"	"07.10.2011 11:46"	"07.10.2011 13:30"	"následky srážky vlaku s osobou"	
"318, 317"	"Kravaře ve Sl. - Chuchelná"	"08.10.2011 03:50"	"08.10.2011 07:00"	"následky srážky vlaku s osobou"	
89	"Liberec - Hrádek n.N."	"09.10.2011 15:48"	"09.10.2011 18:00"	"následky srážky vlaku s osobou"	
91	"Libčice n.Vlt. - Kralupy n.Vlt."	"10.10.2011 18:28"	"10.10.2011 22:00"	"následky srážky vlaku s osobou"	
183	"Plzeň hl.n. - Plzeň-Valcha"	"11.10.2011 04:56"	"11.10.2011 08:30"	"následky srážky vlaku s osobou"	
44	"Kunčice n.L. - Vrchlabí"	"12.10.2011 10:52"	"12.10.2011 13:52"	"následky srážky vlaku s osobou"	
190	"Ždírec u Plzně - Nepomuk"	"12.10.2011 18:49"	"12.10.2011 20:50"	"následky srážky vlaku s osobou"	
